"Statistic Label","Month","Airports in Ireland","Country","Direction","Flight Type","UNIT","VALUE"
"Passengers","2023 January","Dublin","Norway","Departure","Scheduled","Thousand","2"
"Passengers","2023 January","Dublin","Russia","Arrival","Scheduled","Thousand","0"
"Passengers","2023 January","Dublin","Russia","Departure","Scheduled","Thousand","0"
"Passengers","2023 January","Dublin","Serbia","Arrival","Scheduled","Thousand","0"
"Passengers","2023 January","Dublin","Serbia","Departure","Scheduled","Thousand","0"
"Passengers","2023 January","Dublin","Switzerland","Arrival","Scheduled","Thousand","16.4"
"Passengers","2023 January","Dublin","Switzerland","Departure","Scheduled","Thousand","16.3"
"Passengers","2023 January","Dublin","Turkiye","Arrival","Scheduled","Thousand","13.6"
"Passengers","2023 January","Dublin","Turkiye","Departure","Scheduled","Thousand","12.4"
"Passengers","2023 January","Dublin","Other Europe (3)","Arrival","Scheduled","Thousand","7.4"
"Passengers","2023 January","Dublin","Other Europe (3)","Departure","Scheduled","Thousand","3.5"
"Passengers","2023 January","Dublin","Europe (48 Countries)","Arrival","Scheduled","Thousand","923.7"
"Passengers","2023 January","Dublin","Europe (48 Countries)","Departure","Scheduled","Thousand","875.6"
"Passengers","2023 January","Dublin","America","Arrival","Scheduled","Thousand","87"
"Passengers","2023 January","Dublin","America","Departure","Scheduled","Thousand","94.5"
"Passengers","2023 January","Dublin","Canada","Arrival","Scheduled","Thousand","9.3"
"Passengers","2023 January","Dublin","Canada","Departure","Scheduled","Thousand","9.8"
"Passengers","2023 January","Dublin","United States","Arrival","Scheduled","Thousand","77.7"
"Passengers","2023 January","Dublin","United States","Departure","Scheduled","Thousand","84.7"
"Passengers","2023 January","Dublin","Other America (5)","Arrival","Scheduled","Thousand","0"
"Passengers","2023 January","Dublin","Other America (5)","Departure","Scheduled","Thousand","0"
"Passengers","2023 January","Dublin","Africa (9)","Arrival","Scheduled","Thousand","5.5"
"Passengers","2023 January","Dublin","Africa (9)","Departure","Scheduled","Thousand","4.7"
"Passengers","2023 January","Dublin","Eygpt","Arrival","Scheduled","Thousand","2"
